N° Ola,INVENTORY_ID,ADDRESS_ID_TO,Seller,Holding,Cantidad
1,EUGA27579,NA-1-003-000-00-00,STONEBANKSMX1,Stone Banks,2
1,LYPY82213,NA-1-003-000-00-00,POCKETELVESMX1,Pocket Elves,1
1,FXMN77992,NA-1-003-000-00-00,ASHLEYTDMX1,AshleyTD,1
1,QKHT80448,RI-0-001-000-00-00,ONMEDICS,ONMEDICS,9
1,AJEE02949,NA-1-003-000-00-00,BESTSELLERMX2,BESTSELLER,6
1,FZZJ02822,NA-1-003-000-00-00,TUYUEMX,TuYue,2
1,DRDO37265,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,GFKL58341,NA-1-003-000-00-00,KYLIESHOPMX,KYLIESHOP,26
1,JFCQ88074,NA-1-003-000-00-00,CANTONPOWERMX,Canton Power,2
1,MEZK41638,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,FXMB12243,NA-1-003-000-00-00,LIGESMARTWATCHOFFICIALSTORMX1,LIGE smart watch official stor,3
1,RBUB17141,NA-1-003-000-00-00,ENJOYTECHNOLOGYLIFEMX,enjoy technology life,1
1,LJJB50160,NA-1-003-000-00-00,ENJOYYOURSELFMX1,Enjoy Yourself,1
1,EQYA20147,NA-1-003-000-00-00,CARYWONMX1,CARYWON,1
1,CUTK66562,NA-1-003-000-00-00,TECHKERMX,TECHKER,5
1,YAHN52936,NA-1-003-000-00-00,WENGXINMX1,wengxin,1
1,FOXR58506,NA-1-003-000-00-00,MERIDACORPMX1,MERIDA CORP,1
1,NJPX78252,NA-1-003-000-00-00,SENDOWTEKMX,Sendowtek,2
1,OAGD95076,NA-1-003-000-00-00,MXLECHANGDA,LECHANGDA,3
1,TRZC14789,NA-1-003-000-00-00,AGENTEELECTRÓNICOPOLARISMX,Agente Electrónico Polaris,17
1,BCLD21919,NA-1-003-000-00-00,SOUNDPEATSMX1,SOUNDPEATS,5
1,EBOO12449,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,OVRP31529,NA-1-003-000-00-00,NYGAMELLOZ-MERCMX1,Nygamelloz-merc,1
1,ZLDS75980,NA-1-003-000-00-00,TALENANAMX,TALENANA,3
1,XAMR39660,NA-1-003-000-00-00,VNGUKSMX1,VNGUKS,1
1,YFAD53639,RI-0-001-000-00-00,FERRETERIALALIBRA,Flibra,2
1,PBUW45166,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,IKSP88591,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,KKEF20008,NA-1-003-000-00-00,CANTONPOWERMX,Canton Power,4
1,RKAP85720,NA-1-003-000-00-00,AXLOIEFFCN,AxloieFF,2
1,CLMF28142,NA-1-003-000-00-00,STONEBANKSMX1,Stone Banks,1
1,CUTD20374,NA-1-003-000-00-00,LIBERTYMX1,Liberty,1
1,KOWF28265,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,MEOL84029,RI-0-001-000-00-00,IBUSHAK OFICIALES,IBUSHAK,1
1,CFBB91090,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,TPGS73175,NA-1-003-000-00-00,KEYBANAMX1,Keybana,2
1,CDNJ60195,NA-1-003-000-00-00,KRTMX1,KRT,4
1,YCIH46318,NA-1-003-000-00-00,VNGUKSMX1,VNGUKS,1
1,FYKT03554,NA-1-003-000-00-00,YIMOTECHMX,yimotech,1
1,FRZB03499,NA-1-003-000-00-00,TRONSMARTOFFICIALSTOREMX,Tronsmart Official Store,5
1,MDRZ04246,NA-1-003-000-00-00,IOOTTATECHMX,iootta Tech,3
1,WUBZ28462,NA-1-003-000-00-00,AUXITOSMX,AUXITOS,4
1,MDRZ27081,NA-1-003-000-00-00,BBIERMX1,BBier,2
1,KJLX68820,NA-1-003-000-00-00,AOSIHUIMXMX,AOSIHUI MX,2
1,JZPV19485,NA-1-003-000-00-00,ELGRANMARMX,El Gran Mar,1
1,LCQI44739,NA-1-003-000-00-00,DOXUNGOOMX1,DOXUNGOO,3
1,VZBG24898,RI-0-001-000-00-00,FIX FERRETERIAS,FIX FERRETERIAS,2
1,HFNJ61936,NA-1-003-000-00-00,VNGUKSMX1,VNGUKS,1
1,IUOY81362,NA-1-003-000-00-00,MERCADOLIBRE HOME_MX,Mercado Libre,3
1,DDMN75876,NA-1-003-000-00-00,AITASIMX,Aitasi,16
1,LWVS91251,NA-1-003-000-00-00,MEIYINGLIMX1,Mei Ying Li,4
1,GFKL18371,NA-1-003-000-00-00,TOPFARMX1,TOPFAR,5
1,GBAE00801,NA-1-003-000-00-00,KUWFIMX1,KuWFi,1
1,TXOE74849,NA-1-003-000-00-00,VNGUKSMX1,VNGUKS,1
1,HVCS69929,NA-1-003-000-00-00,EOCEANMX,Eocean,9
1,EFIO54729,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,RDIB98362,NA-1-003-000-00-00,PL MLM,Temakla MLM,1
1,GHCF24563,NA-1-003-000-00-00,KAZOMEMX,Kazome,6
1,BVCW26191,RI-0-001-000-00-00,SELLATODO,Rodrigo,1
1,NOYA51709,NA-1-003-000-00-00,JUREBECIAMX,Jurebecia,1
1,PVKY48201,NA-1-003-000-00-00,MXUTOCN,UTOCN,1
1,MZWD47464,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,XFTW60764,NA-1-003-000-00-00,QUCOTIENDAOFICIALMX1,QUCO Tienda Oficial,2
1,UWHQ72185,NA-1-003-000-00-00,EDDOYEEMX,Eddoyee,1
1,TBLN87915,NA-1-003-000-00-00,SENTOLLAMX1,Sentolla,2
1,NFVT86101,NA-1-003-000-00-00,MECEROCKMX,Mecerock,1
1,ROAL73390,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,RUVD22156,NA-1-003-000-00-00,ENJOYTECHNOLOGYLIFEMX,enjoy technology life,2
1,WJUW30234,NA-1-003-000-00-00,LILISHOPMX,LILISHOP,3
1,LNES27034,NA-1-003-000-00-00,MERCADOLIBRE HOME_MX,Mercado Libre,3
1,LIJX47832,NA-1-003-000-00-00,E-MAXMX1,E-MAX,2
1,FEWH04383,NA-1-003-000-00-00,ONIKUMAMX1,ONIKUMA,11
1,KMWT79387,NA-1-003-000-00-00,DAMAILININGMX,Damailining,3
1,RYWV80702,NA-1-003-000-00-00,HONGLONGMX,Honglong,34
1,FELG06587,NA-1-003-000-00-00,MXMX3,MX,4
1,MWGK53821,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,QUBL72747,NA-1-003-000-00-00,SH-ML05MX1,SH-ML05,3
1,DOWR60764,NA-1-003-000-00-00,UNISMARMX,Unismar,1
1,SMBG39185,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,GBAE97091,RI-0-001-000-00-00,MALLASYTEJIDOSMEXICO SADECV,MALLAS Y TEJIDOS,3
1,SYQD15272,NA-1-003-000-00-00,VNGUKSMX1,VNGUKS,1
1,NWXF76852,NA-1-003-000-00-00,SCHIBMX1,SCHIB,5
1,TZEV78089,NA-1-003-000-00-00,DUOLUTONGMX1,DUOLUTONG,1
1,DEKA91298,NA-1-003-000-00-00,BT-ML04MX1,BT-ML04,1
1,FYQG09763,NA-1-003-000-00-00,PAOLAWANMX1,Paola Wan,32
1,DJSB33297,NA-1-003-000-00-00,MECEROCKMX,Mecerock,1
1,RJOI37404,NA-1-003-000-00-00,MXDRONESTORE,DroneStore,1
1,HMLH76783,NA-1-003-000-00-00,SMARTLEGENDMX1,Smartlegend,1
1,QCVU45340,NA-1-003-000-00-00,MXRABBITSTORMML,Rabbitstorm ml,31
1,BRTC22333,NA-1-003-000-00-00,KOOBNYMX,koobny,1
1,YWET69513,NA-1-003-000-00-00,TUYUEMX,TuYue,1
1,ZRJX91866,NA-1-003-000-00-00,HXTECH.MX1,Hx tech.,1
1,IUKD74428,NA-1-003-000-00-00,LLTRADERMX1,LL TRADER,1
1,MDGF28277,NA-1-003-000-00-00,CECROSSMX1,CECROSS,2
1,MYSJ82094,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,2
1,GNAC62946,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,ZRJX40038,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,GCGF51103,NA-1-003-000-00-00,JOOPINMX1,JOOPIN,1
1,GDCT48970,NA-1-003-000-00-00,ENJOYTECHNOLOGYLIFEMX,enjoy technology life,5
1,RWUL71668,NA-1-003-000-00-00,JOYROOMMX1,joyroom,3
1,JDGY72088,NA-1-003-000-00-00,MOCOTECHDEMÉXICOMX1,Moco Tech de México,1
1,HUTS47222,NA-1-003-000-00-00,PL MLM,Temakla MLM,2
1,WRRA93037,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,8
1,SMBG10090,NA-1-003-000-00-00,CHJDZSWMX,CHJDZSW,1
1,EYIZ16182,NA-1-003-000-00-00,MEEGSKINGMX1,Meegsking,1
1,UDPT36120,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,XTNR80482,NA-1-003-000-00-00,LAMPOEXPRESSMX1,LampoExpress,5
1,YHYR60874,NA-1-003-000-00-00,NASTBONMX1,Nastbon,1
1,AZVM36509,NA-1-003-000-00-00,MXFASHIONCLOUDSTYLE,Fashion Cloudstyle,1
1,IBGO51029,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,TFXM90865,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,VDQE27364,NA-1-003-000-00-00,MINOHOUSEHOLDMX,Minohousehold,1
1,EBOO82087,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,YKUR51119,NA-1-003-000-00-00,PANYIJUNMX1,Pan yijun,1
1,TRXJ59309,NA-1-003-000-00-00,AIBEBEMX,aibebe,1
1,COXJ61361,NA-1-003-000-00-00,ANMIENMX1,ANMIEN,2
1,UVJQ33968,NA-1-003-000-00-00,JUSTBUYITMX1,Justbuyit,1
1,RLJU11418,NA-1-003-000-00-00,SANCEÓNTECHNOLOGYMX,SANCEÓN Technology,2
1,OLKX65965,NA-1-003-000-00-00,NIUNUMX1,NIUNU,1
1,GDCT46829,NA-1-003-000-00-00,BREDOWMX1,Bredow,2
1,NGZJ67114,NA-1-003-000-00-00,SOLMX2,SOL,2
1,RZPH90865,NA-1-003-000-00-00,CYXUSOFFICIALMX1,cyxusofficial,1
1,PPRF32677,NA-1-003-000-00-00,ANNATOSANIMX,ANNA TOSANI,5
1,MBMP28905,NA-1-003-000-00-00,MXALEGRECOMPRA,AlegreCompra,1
1,GMKF94533,NA-1-003-000-00-00,AMOROSAMX,Amorosa,2
1,KKEF89611,NA-1-003-000-00-00,E-MAXMX1,E-MAX,1
1,TWQU25897,NA-1-003-000-00-00,GOVIAMX1,GOVIA,1
1,UFOP57999,NA-1-003-000-00-00,TUYUEMX,TuYue,4
1,RBUB63844,NA-1-003-000-00-00,WAYWELMX,WAYWEL,4
1,GRHA89178,NA-1-003-000-00-00,BAROMEMX,BAROME,3
1,GHEH63166,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,AZVM89477,NA-1-003-000-00-00,NIUNUMX1,NIUNU,1
1,IZQC04747,NA-1-003-000-00-00,LOUISWILLMX1,LouisWill,3
1,OJKD65036,NA-1-003-000-00-00,YIPMAIMX1,Yipmai,4
1,RWUL68686,NA-1-003-000-00-00,ABEIKEMX1,Abeike,4
1,CCKD66100,NA-1-003-000-00-00,MXCJCMALL,CJCMALL,1
1,JFGN67599,NA-1-003-000-00-00,PANYIJUNMX1,Pan yijun,4
1,HYMK60835,NA-1-003-000-00-00,ONLYONEMX1,Only one,1
1,TDFV24313,NA-1-003-000-00-00,SEPHOMEMX,Sep Home,4
1,VVOB02172,NA-1-003-000-00-00,REBORNDOLLSMX,Reborn Dolls,1
1,SYHC15446,NA-1-003-000-00-00,ANGELKISSMX1,angelkiss,1
1,DHPI90213,NA-1-003-000-00-00,MAXJORDAN010203MX,maxjordan010203,1
1,HTEZ16842,NA-1-003-000-00-00,MXCA1363491,Casita,5
1,QTHD60153,NA-1-003-000-00-00,MINIFOCUSMX1,MINIFOCUS,1
1,QCRV75249,NA-1-003-000-00-00,GLOBTOUCHGROUPMX,GLOBTOUCH Group,1
1,YTFZ77370,NA-1-003-000-00-00,MXSUPCASEANDIBLASONOFFICIA,Supcase and i-Blason official,1
1,DCJM48422,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,OLMI12837,NA-1-003-000-00-00,AOSIHUIMXMX,AOSIHUI MX,1
1,GPGU88673,NA-1-003-000-00-00,YFDANCEMX1,YFDANCE,1
1,EULX85627,DR-0-002-000-00-00,PL MLM,Temakla MLM,1
