N° Ola,SKU,Cantidad Solicitada,COSTO UNITARIO,SUM de gmv total,Descripción
1,ARNS53639,1,7.87,7.87,Açúcar Refinado Especial Da Barra 1 Kg Original + Nota Fis.
1,ARNS59350,1,28.21,28.21,Ice 51 Sabor Limão Garrafa 275ml
1,ARNS66159,4,31.83,127.32,Juego De Fundas De Oscilación Gris Impermeable Cubierta Supe
1,ARNS67974,1,14.6,14.6,Funda Para Huawei Mate 20 Lite Anti-rasguño Alta Calidad
1,ARNS76269,2,23.97,47.94,Jean Legging Cinta Letras Fenix System
1,ARQV04035,1,18.28,18.28,Tenis Para Hombre Converse De Lona Y Cordones Verde
1,ARQV04982,1,14.32,14.32,Sandalia Nomi Roja
1,ARQV07760,1,21.24,21.24,Borcegos Lizard Marrones
1,ARQV16481,1,13.06,13.06,Gimnasio Faja Colombiana Reductora Para Ejercicio Deportes
1,ARQV16531,6,3.2,19.2,Blusa De Invierno Con Cuello Alto Para Mujeres
1,ARQV18154,1,27.64,27.64,Chocottone Panettone Com Gotas De Chocolate Parati Pct 450g
1,ARQV27703,1,13.91,13.91,Denim Music Girls Azul Wanama Boys & Girls
1,ARQV40745,1,22.23,22.23,1 Din Reproductor Mp3 Con Radio Fm Bluetooth Autoestéreos
1,ARQV59559,1,9.98,9.98,Sandália Verniz Preto Beira Rio
1,ARQV60481,1,9.66,9.66,"Adesivo De Cozinha Mármore Preto Mesa Vidro Azulejos 1,22mt"
1,ARQV70121,1,12.64,12.64,Kit Reparo Vidro Para-brisa Automotivo Laminados Em Geral
1,ARQV72163,4,8.57,34.28,Blusa De Moletom Masculino Básica Polo Wear Preto 117247
1,ARQV74136,3,33.15,99.45,Apple Watch Se(gps) 40mm - Alumínio
1,ATBT44430,1,20.47,20.47,6 Piezas Parasol Protector Parabrisa Parasol Ventanilla Auto
1,ATDS73609,2,27.08,54.16,Sandália Rasteira Feminina Têxtil Avocado - Colcci
1,AUGJ20272,2,15.48,30.96,Motosierra Eléctrica 6 2 Baterías Recargable Portátil
1,AUGJ23067,1,19.96,19.96,Playera Under Armour Hombre Loose Fit Tech 2.0
1,AUGJ24661,3,12.48,37.44,Fechadura Digital Embutir Push & Pull Fr620 Intelbras
1,AUGJ39536,1,35.97,35.97,Camisa Ciclismo Mtb Fox 2019(p-m-g-gg-3g-4g) *menor Preço*
